doc_id=doc_0261 | field=total_amount | candidate_text=52540.05 | label=0
doc_id=doc_0261 | field=total_amount | candidate_text=68543.58 | label=1
doc_id=doc_0279 | field=total_amount | candidate_text=303.36 | label=0
doc_id=doc_0279 | field=total_amount | candidate_text=12.08 | label=0
doc_id=doc_0279 | field=total_amount | candidate_text=4.0 | label=0
doc_id=doc_0279 | field=total_amount | candidate_text=12.35 | label=1
doc_id=doc_0361 | field=total_amount | candidate_text=100.0 | label=1
doc_id=doc_0233 | field=total_amount | candidate_text=3500.0 | label=1
doc_id=doc_0307 | field=total_amount | candidate_text=6800.0 | label=1
doc_id=doc_0400 | field=total_amount | candidate_text=1557.52 | label=1
doc_id=doc_0400 | field=total_amount | candidate_text=1243.61 | label=0
doc_id=doc_0400 | field=total_amount | candidate_text=14.21 | label=0
doc_id=doc_0327 | field=total_amount | candidate_text=940.8 | label=0
doc_id=doc_0327 | field=total_amount | candidate_text=700.0 | label=0
doc_id=doc_0327 | field=total_amount | candidate_text=2286.08 | label=1
doc_id=doc_0276 | field=total_amount | candidate_text=250.0 | label=1
doc_id=doc_0289 | field=total_amount | candidate_text=13799.0 | label=1
doc_id=doc_0311 | field=total_amount | candidate_text=35.75 | label=1
doc_id=doc_0399 | field=total_amount | candidate_text=19.59 | label=0
doc_id=doc_0399 | field=total_amount | candidate_text=1500.0 | label=0
doc_id=doc_0399 | field=total_amount | candidate_text=1166.08 | label=0
doc_id=doc_0399 | field=total_amount | candidate_text=2640.65 | label=0
doc_id=doc_0399 | field=total_amount | candidate_text=1900.0 | label=0
doc_id=doc_0399 | field=total_amount | candidate_text=1625.0 | label=0
doc_id=doc_0399 | field=total_amount | candidate_text=3525.0 | label=0
doc_id=doc_0399 | field=total_amount | candidate_text=250.0 | label=0
doc_id=doc_0399 | field=total_amount | candidate_text=1000.0 | label=0
doc_id=doc_0399 | field=total_amount | candidate_text=1146.06 | label=0
doc_id=doc_0399 | field=total_amount | candidate_text=2260.09 | label=0
doc_id=doc_0399 | field=total_amount | candidate_text=1990.0 | label=0
doc_id=doc_0399 | field=total_amount | candidate_text=2529.0 | label=1
doc_id=doc_0262 | field=total_amount | candidate_text=733.41 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=759.41 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=4248.4 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=59.43 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=733.44 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=2098.84 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=753.44 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=799.41 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=20.21 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=673.2 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=180.02 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=672.2 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=73.2 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=873.2 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=73.41 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=2000.84 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=4346.4 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=7493.05 | label=0
doc_id=doc_0262 | field=total_amount | candidate_text=7498.08 | label=1
doc_id=doc_0383 | field=total_amount | candidate_text=500.0 | label=1
doc_id=doc_0304 | field=total_amount | candidate_text=18.86 | label=0
doc_id=doc_0304 | field=total_amount | candidate_text=695.0 | label=1
doc_id=doc_0293 | field=total_amount | candidate_text=1850.0 | label=0
doc_id=doc_0293 | field=total_amount | candidate_text=1933.25 | label=1
doc_id=doc_0362 | field=total_amount | candidate_text=58690.8 | label=0
doc_id=doc_0362 | field=total_amount | candidate_text=69008.0 | label=1
doc_id=doc_0362 | field=total_amount | candidate_text=960.11 | label=0
doc_id=doc_0373 | field=total_amount | candidate_text=9.0 | label=0
doc_id=doc_0373 | field=total_amount | candidate_text=30.0 | label=0
doc_id=doc_0373 | field=total_amount | candidate_text=86.0 | label=0
doc_id=doc_0373 | field=total_amount | candidate_text=1827.0 | label=0
doc_id=doc_0373 | field=total_amount | candidate_text=29.0 | label=0
doc_id=doc_0373 | field=total_amount | candidate_text=63.0 | label=0
doc_id=doc_0373 | field=total_amount | candidate_text=75.0 | label=0
doc_id=doc_0373 | field=total_amount | candidate_text=487.5 | label=0
doc_id=doc_0373 | field=total_amount | candidate_text=602.25 | label=0
doc_id=doc_0373 | field=total_amount | candidate_text=2916.75 | label=1
doc_id=doc_0393 | field=total_amount | candidate_text=18520.0 | label=0
doc_id=doc_0393 | field=total_amount | candidate_text=46300.0 | label=1
doc_id=doc_0217 | field=total_amount | candidate_text=7500.0 | label=1
doc_id=doc_0314 | field=total_amount | candidate_text=1200.0 | label=1
doc_id=doc_0368 | field=total_amount | candidate_text=92.06 | label=0
doc_id=doc_0368 | field=total_amount | candidate_text=2010600.06 | label=1
doc_id=doc_0201 | field=total_amount | candidate_text=1337.0 | label=1
doc_id=doc_0215 | field=total_amount | candidate_text=3000.0 | label=1
doc_id=doc_0335 | field=total_amount | candidate_text=181359.0 | label=1
doc_id=doc_0306 | field=total_amount | candidate_text=324.0 | label=1
