doc_id=doc_0323 | field=total_amount | candidate_text=1350.0 | label=1
doc_id=doc_0297 | field=total_amount | candidate_text=100000.0 | label=1
doc_id=doc_0244 | field=total_amount | candidate_text=640.0 | label=0
doc_id=doc_0244 | field=total_amount | candidate_text=9640.0 | label=0
doc_id=doc_0244 | field=total_amount | candidate_text=290.0 | label=0
doc_id=doc_0244 | field=total_amount | candidate_text=300.0 | label=0
doc_id=doc_0244 | field=total_amount | candidate_text=240.0 | label=0
doc_id=doc_0244 | field=total_amount | candidate_text=4600.0 | label=1
doc_id=doc_0205 | field=total_amount | candidate_text=12.0 | label=0
doc_id=doc_0205 | field=total_amount | candidate_text=25.35 | label=0
doc_id=doc_0205 | field=total_amount | candidate_text=22.21 | label=0
doc_id=doc_0205 | field=total_amount | candidate_text=50.92 | label=1
doc_id=doc_0238 | field=total_amount | candidate_text=200.0 | label=1
doc_id=doc_0267 | field=total_amount | candidate_text=2050.0 | label=1
doc_id=doc_0357 | field=total_amount | candidate_text=123250.0 | label=1
doc_id=doc_0341 | field=total_amount | candidate_text=435.08 | label=0
doc_id=doc_0341 | field=total_amount | candidate_text=157.5 | label=1
doc_id=doc_0371 | field=total_amount | candidate_text=330.18 | label=0
doc_id=doc_0371 | field=total_amount | candidate_text=4330.28 | label=0
doc_id=doc_0371 | field=total_amount | candidate_text=2320.72 | label=1
doc_id=doc_0258 | field=total_amount | candidate_text=7650.0 | label=1
doc_id=doc_0364 | field=total_amount | candidate_text=500.0 | label=1
doc_id=doc_0343 | field=total_amount | candidate_text=76514.0 | label=0
doc_id=doc_0343 | field=total_amount | candidate_text=76904.0 | label=1
doc_id=doc_0334 | field=total_amount | candidate_text=8000.0 | label=1
doc_id=doc_0227 | field=total_amount | candidate_text=175.0 | label=0
doc_id=doc_0227 | field=total_amount | candidate_text=2975.0 | label=0
doc_id=doc_0227 | field=total_amount | candidate_text=160.0 | label=0
doc_id=doc_0227 | field=total_amount | candidate_text=1920.0 | label=0
doc_id=doc_0227 | field=total_amount | candidate_text=95.0 | label=0
doc_id=doc_0227 | field=total_amount | candidate_text=475.0 | label=0
doc_id=doc_0227 | field=total_amount | candidate_text=700.0 | label=0
doc_id=doc_0227 | field=total_amount | candidate_text=2240.0 | label=0
doc_id=doc_0227 | field=total_amount | candidate_text=5075.0 | label=0
doc_id=doc_0227 | field=total_amount | candidate_text=5280.0 | label=0
doc_id=doc_0228 | field=total_amount | candidate_text=439.9 | label=0
doc_id=doc_0228 | field=total_amount | candidate_text=50.0 | label=0
doc_id=doc_0228 | field=total_amount | candidate_text=18.0 | label=0
doc_id=doc_0228 | field=total_amount | candidate_text=35.0 | label=0
doc_id=doc_0228 | field=total_amount | candidate_text=839.9 | label=0
doc_id=doc_0228 | field=total_amount | candidate_text=599.9 | label=1
doc_id=doc_0312 | field=total_amount | candidate_text=830.76 | label=0
doc_id=doc_0312 | field=total_amount | candidate_text=388.46 | label=0
doc_id=doc_0312 | field=total_amount | candidate_text=199.42 | label=0
doc_id=doc_0312 | field=total_amount | candidate_text=5107.8 | label=0
doc_id=doc_0312 | field=total_amount | candidate_text=391.93 | label=0
doc_id=doc_0312 | field=total_amount | candidate_text=40.31 | label=0
doc_id=doc_0312 | field=total_amount | candidate_text=7768.68 | label=0
doc_id=doc_0312 | field=total_amount | candidate_text=16525.23 | label=0
doc_id=doc_0312 | field=total_amount | candidate_text=1988.09 | label=0
doc_id=doc_0312 | field=total_amount | candidate_text=18508.26 | label=0
doc_id=doc_0312 | field=total_amount | candidate_text=1480.66 | label=0
doc_id=doc_0312 | field=total_amount | candidate_text=2.0 | label=0
doc_id=doc_0312 | field=total_amount | candidate_text=19988.92 | label=1
doc_id=doc_0202 | field=total_amount | candidate_text=30.43 | label=0
doc_id=doc_0202 | field=total_amount | candidate_text=39.27 | label=0
doc_id=doc_0202 | field=total_amount | candidate_text=54.48 | label=0
doc_id=doc_0202 | field=total_amount | candidate_text=28.78 | label=0
doc_id=doc_0202 | field=total_amount | candidate_text=172.5 | label=0
doc_id=doc_0202 | field=total_amount | candidate_text=37.14 | label=0
doc_id=doc_0202 | field=total_amount | candidate_text=51.53 | label=0
doc_id=doc_0202 | field=total_amount | candidate_text=141.91 | label=0
doc_id=doc_0202 | field=total_amount | candidate_text=1217.2 | label=0
doc_id=doc_0202 | field=total_amount | candidate_text=235.62 | label=0
doc_id=doc_0202 | field=total_amount | candidate_text=4964.55 | label=0
doc_id=doc_0202 | field=total_amount | candidate_text=1002.78 | label=0
doc_id=doc_0202 | field=total_amount | candidate_text=1133.66 | label=0
doc_id=doc_0202 | field=total_amount | candidate_text=156.1 | label=0
doc_id=doc_0202 | field=total_amount | candidate_text=9262.05 | label=0
doc_id=doc_0202 | field=total_amount | candidate_text=99418.15 | label=1
doc_id=doc_0266 | field=total_amount | candidate_text=2624.26 | label=1
doc_id=doc_0232 | field=total_amount | candidate_text=20.75 | label=1
doc_id=doc_0232 | field=total_amount | candidate_text=23.19 | label=0
doc_id=doc_0268 | field=total_amount | candidate_text=90.97 | label=0
doc_id=doc_0268 | field=total_amount | candidate_text=4850.0 | label=1
doc_id=doc_0286 | field=total_amount | candidate_text=200.89 | label=1
doc_id=doc_0277 | field=total_amount | candidate_text=95951.25 | label=1
doc_id=doc_0381 | field=total_amount | candidate_text=2250.0 | label=1
doc_id=doc_0310 | field=total_amount | candidate_text=46400000.0 | label=1
doc_id=doc_0388 | field=total_amount | candidate_text=60.0 | label=1
