doc_id,file_name,_split,field,candidate_text,candidate_source,line_idx,line_rel_pos,line_token_count,candidate_len,candidate_token_count,candidate_digit_count,candidate_alpha_count,candidate_digit_ratio,candidate_uppercase_ratio,candidate_has_org_suffix,candidate_has_address_word,candidate_has_label_word,candidate_shape,line_has_colon,line_is_upper,line_digit_ratio,line_has_dollar,line_has_org_suffix,line_has_address_word,line_has_label_word,is_top_10_lines,is_top_20_lines,is_bottom_half,is_bottom_quarter,ctx_has_invoice,ctx_has_invoice_no,ctx_has_bill_to,ctx_has_sold_to,ctx_has_ship_to,ctx_has_attention,ctx_has_total,ctx_has_amount_due,ctx_has_reference,ctx_has_due,invoice_like_score,ocr_quality_score,doc_num_lines,doc_num_chars,amt_value,amt_ge_100,amt_ge_1000,amt_line_has_total,amt_line_has_amount_due,amt_line_dot_leader_heavy,label,notes
doc_0323,rvl_train_21065.png,train,total_amount,1350.0,money_total_line,17,0.9444,5,7,1,6,0,0.8571,0.0,0,0,0,0.0,1,1,0.2143,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,2,1.0,19,393,1350.0,1,1,1,1,0,,
doc_0297,rvl_train_08022.png,train,total_amount,100000.0,money_anywhere,6,0.1935,1,9,1,8,0,0.8889,0.0,0,0,0,0.0,0,0,0.7273,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1.0,32,641,100000.0,1,1,0,0,0,,
doc_0244,rvl_train_09106.png,train,total_amount,640.0,money_anywhere,23,0.5227,8,6,1,5,0,0.8333,0.0,0,0,0,0.0,0,0,0.28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,45,1347,640.0,1,0,0,0,0,,
doc_0244,rvl_train_09106.png,train,total_amount,9640.0,money_anywhere,26,0.5909,8,7,1,6,0,0.8571,0.0,0,0,0,0.0,0,0,0.2917,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,45,1347,9640.0,1,1,0,0,0,,
doc_0244,rvl_train_09106.png,train,total_amount,290.0,money_anywhere,29,0.6591,7,6,1,5,0,0.8333,0.0,0,0,0,0.0,0,0,0.3333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,45,1347,290.0,1,0,0,0,0,,
doc_0244,rvl_train_09106.png,train,total_amount,300.0,money_anywhere,32,0.7273,6,6,1,5,0,0.8333,0.0,0,0,0,0.0,0,0,0.3824,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,45,1347,300.0,1,0,0,0,0,,
doc_0244,rvl_train_09106.png,train,total_amount,240.0,money_anywhere,35,0.7955,7,6,1,5,0,0.8333,0.0,0,0,0,0.0,0,0,0.3488,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,45,1347,240.0,1,0,0,0,0,,
doc_0244,rvl_train_09106.png,train,total_amount,4600.0,money_anywhere,37,0.8409,6,7,1,6,0,0.8571,0.0,0,0,0,0.0,0,0,0.1463,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,45,1347,4600.0,1,1,0,0,0,,
doc_0205,rvl_train_09013.png,train,total_amount,12.0,money_anywhere,8,0.2353,8,5,1,4,0,0.8,0.0,0,0,0,0.0,1,0,0.1837,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,35,1001,12.0,0,0,0,0,0,,
doc_0205,rvl_train_09013.png,train,total_amount,25.35,money_anywhere,21,0.6176,5,5,1,4,0,0.8,0.0,0,0,0,0.0,0,0,0.3103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,35,1001,25.35,0,0,0,0,0,,
